gene	evidence_layer	bulk_signature_role	HERB_relation_direction	supporting_PMIDs	rectal_B_cell_delta_log1p_CPM	rectal_B_cell_P	rectal_MDC_delta_log1p_CPM	rectal_MDC_P	Open_Targets_disease_contexts	max_Open_Targets_overall_score	max_Open_Targets_genetic_score	max_Open_Targets_clinical_score	PubMed_title_matches	PubMed_target_terms_found	full_text_evidence_level	figure_evidence_role	interpretation_boundary
IL7	B-cell increased supplementary target	Not in top bulk module	down	33597887	0.07489	0.0727	0.0289	0.627	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.0987	0	0	1	1	Open full-text body match	Supplementary context	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
STAT5A	B-cell increased supplementary target	Not in top bulk module	down	33597887	0.04869	0.23	0.01266	1	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.0592	0	0	1	1	Open full-text body match	Supplementary context	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
IL15	B-cell increased supplementary target	Not in top bulk module	down	33597887	0.03242	0.412	0.03334	0.627	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.0974	0	0	1	1	Open full-text body match	Supplementary context	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
IL10	Context-only literature target	Not in top bulk module	up	36196887;36353208	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.763	0.883	0	2	2	No full-text body match in high-value verification	Not used in main mechanism figure	
IL12A	Context-only literature target	Not in top bulk module	up	36353208	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.606	0	0.987	1	1	No full-text body match in high-value verification	Not used in main mechanism figure	
IL13	Context-only literature target	Not in top bulk module	up	36196887	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.323	0	0.482	1	1	No full-text body match in high-value verification	Not used in main mechanism figure	
IL22	Context-only literature target	Not in top bulk module	down	33597887	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.137	0	0	1	0	No full-text body match in high-value verification	Not used in main mechanism figure	
IL4	Context-only literature target	Not in top bulk module	up	36196887	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.126	0	0	1	1	No full-text body match in high-value verification	Not used in main mechanism figure	
IL6	Context-only literature target	Not in top bulk module	down	36196887;36353208	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.142	0	0.181	2	2	No full-text body match in high-value verification	Not used in main mechanism figure	
INS	Context-only literature target	Not in top bulk module	down	35234309	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.134	0.179	0	0	0	No full-text body match in high-value verification	Not used in main mechanism figure	
LOC102723407	Context-only literature target	Not in top bulk module	up	36196887	NA	NA	NA	NA		NA	NA	NA	1	0	No full-text body match in high-value verification	Not used in main mechanism figure	
IFNG	Context-only literature target	Not in top bulk module	down	36196887	-0.02215	0.788	-0.03163	0.19	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.332	0.484	0.122	1	1	No full-text body match in high-value verification	Not used in main mechanism figure	
