priority_class	priority_score	ingredient_id	ingredient_name	evidence_count	reference_count	clinical_trial_count	meta_analysis_count	matched_terms	pubchem_id	inchikey	lincs_mapping_key	cas_id	drugbank_id	identifier_status	review_note	top_evidence_titles
priority_for_lincs_mapping	17.0	HBIN029531	Honokiol	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	72303	FVYXIJYOAGAUQK-UHFFFAOYSA-N	FVYXIJYOAGAUQK-UHFFFAOYSA-N	35354-74-6	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Honokiol alleviates ulcerative colitis by targeting PPAR-γ-TLR4-NF-κB signaling and suppressing gasdermin-D-mediated pyroptosis in vivo and in vitro || Honokiol Ameliorates DSS-Induced Mouse Colitis by Inhibiting Inflammation and Oxidative Stress and Improving the Intestinal Barrier
priority_for_lincs_mapping	17.0	HBIN030442	Isoarnebin 4	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	479503	NEZONWMXZKDMKF-SNVBAGLBSA-N	NEZONWMXZKDMKF-SNVBAGLBSA-N	517-88-4; 517-89-5	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Natural shikonin and acetyl-shikonin improve intestinal microbial and protein composition to alleviate colitis-associated colorectal cancer || Shikonin ameliorated mice colitis by inhibiting dimerization and tetramerization of PKM2 in macrophages
priority_for_lincs_mapping	17.0	HBIN034558	Matrine	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	91466	ZSBXGIUJOOQZMP-JLNYLFASSA-N	ZSBXGIUJOOQZMP-JLNYLFASSA-N	519-02-8	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Synergistic protection of astragalus polysaccharides and matrine against ulcerative colitis and associated lung injury in rats || Matrine protects colon mucosal epithelial cells against inflammation and apoptosis via the Janus kinase 2 /signal transducer and activator of transcription 3 pathway
priority_for_lincs_mapping	17.0	HBIN038606	Paeoniflorin	3	3	0	0	colitis;enteritis;inflammatory bowel disease	442534	YKRGDOXKVOZESV-WRJNSLSBSA-N	YKRGDOXKVOZESV-WRJNSLSBSA-N	23180-57-6	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Paeoniflorin inhibits MRGPRX2-mediated pseudo-allergic reaction via calcium signaling pathway || Paeoniflorin Inhibits ASK1-TF Axis by Up-Regulating SOCS3 to Alleviate Radiation Enteritis || Paeoniflorin prevents aberrant proliferation and differentiation of intestinal stem cells by controlling C1q release from macrophages in chronic colitis
priority_for_lincs_mapping	17.0	HBIN040403	Polydatin	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	5281718	HSTZMXCBWJGKHG-CUYWLFDKSA-N	HSTZMXCBWJGKHG-CUYWLFDKSA-N	65914-17-2	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	PEA/Polydatin: Anti-Inflammatory and Antioxidant Approach to Counteract DNBS-Induced Colitis || Polydatin alleviates DSS- and TNBS-induced colitis by suppressing Th17 cell differentiation via directly inhibiting STAT3
priority_for_lincs_mapping	17.0	HBIN041495	Quercetin	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	5280343	REFJWTPEDVJJIY-UHFFFAOYSA-N	REFJWTPEDVJJIY-UHFFFAOYSA-N	117-39-5	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Quercetin Administration Suppresses the Cytokine Storm in Myeloid and Plasmacytoid Dendritic Cells || Chlorogenic Acid and Quercetin in a Diet with Fermentable Fiber Influence Multiple Processes Involved in DSS-Induced Ulcerative Colitis but Do Not Reduce Injury
priority_for_lincs_mapping	17.0	HBIN048372	Wogonin	3	3	0	0	colitis;inflammatory bowel disease	5281703	XLTFNNCXVBYBSX-UHFFFAOYSA-N	XLTFNNCXVBYBSX-UHFFFAOYSA-N	632-85-9	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	NF-κB and Nrf2 signaling pathways contribute to wogonin-mediated inhibition of inflammation-associated colorectal carcinogenesis || Wogonin Strengthens the Therapeutic Effects of Mesenchymal Stem Cells in DSS-Induced Colitis via Promoting IL-10 Production || Wogonin regulates colonocyte metabolism via PPARγ to inhibit Enterobacteriaceae against dextran sulfate sodium-induced colitis in mice
priority_for_lincs_mapping	16.0	HBIN048442	Xanthohumol	2	1	1	0	crohn;inflammatory bowel disease	639665	ORXQGKIUCDPEAJ-YRNVUSSQSA-N	ORXQGKIUCDPEAJ-YRNVUSSQSA-N	569-83-5	DB15359	pubchem_and_inchikey	manual safety and TCM-source review required before claims	A Phase 2 Clinical Trial: Xanthohumol Metabolism and Signature (XMaS) in Crohn's Disease || Xanthohumol Interferes with the Activation of TGF-β Signaling in the Process Leading to Intestinal Fibrosis
priority_for_lincs_mapping	15.0	HBIN044493	Spermidine	2	2	0	0	crohn;inflammatory bowel disease	1102	ATHGHQPFGPMSJY-UHFFFAOYSA-N	ATHGHQPFGPMSJY-UHFFFAOYSA-N	NA	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Presence of PTPN2 SNP rs1893217 Enhances the Anti-inflammatory Effect of Spermidine || Modulation of PTPN2/22 Function by Spermidine in CRISPR-Cas9-Edited T-Cells Associated with Crohn's Disease and Rheumatoid Arthritis
priority_for_lincs_mapping	14.0	HBIN018800	Brahmic acid	2	2	0	0	colitis;ulcerative colitis	73412	PRAUVHZJPXOEIF-AOLYGAPISA-N	PRAUVHZJPXOEIF-AOLYGAPISA-N	18449-41-7	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Madecassic acid, the contributor to the anti-colitis effect of madecassoside, enhances the shift of Th17 toward Treg cells via the PPARγ/AMPK/ACC1 pathway || Inhibition of the activation of γδT17 cells through PPARγ-PTEN/Akt/GSK3β/NFAT pathway contributes to the anti-colitis effect of madecassic acid
priority_for_lincs_mapping	14.0	HBIN019690	Capsaicin	2	2	0	0	colitis;ulcerative colitis	1548943	YKPUWZUDDOIDPM-SOFGYWHQSA-N	YKPUWZUDDOIDPM-SOFGYWHQSA-N	404-86-4	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Lycium barbarum Polysaccharides and Capsaicin Inhibit Oxidative Stress, Inflammatory Responses, and Pain Signaling in Rats with Dextran Sulfate Sodium-Induced Colitis || Beneficial effect of capsaicin via TRPV4/EDH signals on mesenteric arterioles of normal and colitis mice
priority_for_lincs_mapping	14.0	HBIN027450	Geniposide	2	2	0	0	colitis;ulcerative colitis	107848	IBFYXTRXDNAPMM-BVTMAQQCSA-N	IBFYXTRXDNAPMM-BVTMAQQCSA-N	24512-63-8	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Combined Administration of Vitamin D3 and Geniposide Is Less Effective than Single Use of Vitamin D3 or Geniposide in the Treatment of Ulcerative Colitis || Geniposide promotes splenic Treg differentiation to alleviate colonic inflammation and intestinal barrier injury in ulcerative colitis mice
priority_for_lincs_mapping	13.0	HBIN015751	Alpinetin	2	2	0	0	colitis;inflammatory bowel disease	154279	QQQCWVDPMPFUGF-ZDUSSCGKSA-N	QQQCWVDPMPFUGF-ZDUSSCGKSA-N	36052-37-6	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Alpinetin exerts anti-colitis efficacy by activating AhR, regulating miR-302/DNMT-1/CREB signals, and therefore promoting Treg differentiation || Activation of PXR by Alpinetin Contributes to Abrogate Chemically Induced Inflammatory Bowel Disease
priority_for_lincs_mapping	13.0	HBIN025006	Ellagic acid	2	2	0	0	colitis;inflammatory bowel disease	5281855	AFSDNFLWKVMVRB-UHFFFAOYSA-N	AFSDNFLWKVMVRB-UHFFFAOYSA-N	476-66-4	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Ellagic acid protects Caco-2 cell monolayers against inflammation-induced permeabilization || Dietary supplementation of an ellagic acid-enriched pomegranate extract attenuates chronic colonic inflammation in rats
priority_for_lincs_mapping	13.0	HBIN041217	Pterostilbene	2	2	0	0	colitis;inflammatory bowel disease	5281727	VLEUZFDZJKSGMX-ONEGZZNKSA-N	VLEUZFDZJKSGMX-ONEGZZNKSA-N	537-42-8	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Altered paracellular permeability in intestinal cell monolayer challenged with lipopolysaccharide: Modulatory effects of pterostilbene metabolites || Self-assembled micelle derived from pterostilbene ameliorate acute inflammatory bowel disease
secondary_literature_supported	15.0	HBIN032453	Kynurenine	1	1	0	0	colitis;crohn;inflammatory bowel disease;ulcerative colitis	846	YGPSJZOEDVAXAB-UHFFFAOYSA-N	YGPSJZOEDVAXAB-UHFFFAOYSA-N	NA	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Kynurenine plays an immunosuppressive role in 2,4,6-trinitrobenzene sulfate-induced colitis in mice
background_or_control	14.0	HBIN030105	Indigo	3	0	0	3	colitis;crohn;inflammatory bowel disease;ulcerative colitis	10215	QQILFGKZUJYXGS-UHFFFAOYSA-N	QQILFGKZUJYXGS-UHFFFAOYSA-N	482-89-3	NA	pubchem_and_inchikey	do not use as primary TCM candidate without special rationale	Systematic review with meta‐analysis: efficacy of Indigo Naturalis Preparation for the treatment of inflammatory bowel disease(IBD). || Meta-analysis of efficacy and safety of indigo naturalis in the treatment of ulcerative colitis || Systematic evaluation of the efficacy and safety of indigo naturalis PreParation in the treatment of ulcerative colitis
background_or_control	14.0	HBIN047654	Uvadex	2	0	2	0	crohn	4114	QXKHYNVANLEOEG-UHFFFAOYSA-N	QXKHYNVANLEOEG-UHFFFAOYSA-N	12692-94-3; 298-81-7	DB00553	pubchem_and_inchikey	do not use as primary TCM candidate without special rationale	Extracorporeal Photopheresis to Maintain Symptoms Remission During Steroid Withdrawal in Patients With Steroid-Dependent Crohn's Disease || Safety and Efficacy of Extracorporeal Photoimmune Therapy With UVADEX for the Treatment of Crohn's Disease
secondary_literature_supported	13.0	HBIN030187	Inosine	1	1	0	0	colitis;inflammatory bowel disease;ulcerative colitis	135398641	UGQMRVRMYYASKQ-KQYNXXCUSA-N	UGQMRVRMYYASKQ-KQYNXXCUSA-N	58-63-9	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Gut microbiota-derived inosine from dietary barley leaf supplementation attenuates colitis through PPARγ signaling activation
secondary_literature_supported	13.0	HBIN036380	Naringin	1	1	0	0	colitis;inflammatory bowel disease;ulcerative colitis	442428	DFPMSGMNTNDNHN-ZPHOTFPESA-N	DFPMSGMNTNDNHN-ZPHOTFPESA-N	10236-47-2	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Naringin Exerts Therapeutic Effects on Mice Colitis: A Study Based on Transcriptomics Combined With Functional Experiments
secondary_literature_supported	13.0	HBIN039698	P-hydroxyphenethyl-beta-d-glucoside	1	1	0	0	colitis;inflammatory bowel disease;ulcerative colitis	159278	ILRCGYURZSFMEG-RKQHYHRCSA-N	ILRCGYURZSFMEG-RKQHYHRCSA-N	NA	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Salidroside alleviates ulcerative colitis via inhibiting macrophage pyroptosis and repairing the dysbacteriosis-associated Th17/Treg imbalance
secondary_literature_supported	13.0	HBIN045135	Sulforathane	1	1	0	0	colitis;inflammatory bowel disease;ulcerative colitis	5350	SUVMJBTUFCVSAD-UHFFFAOYSA-N	SUVMJBTUFCVSAD-UHFFFAOYSA-N	NA	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Therapeutic effects of sulforaphane in ulcerative colitis: effect on antioxidant activity, mitochondrial biogenesis and DNA polymerization
background_or_control	13.0	HBIN047572	Urc	2	0	0	2	colitis;crohn;inflammatory bowel disease;ulcerative colitis	1175	LEHOTFFKMJEONL-UHFFFAOYSA-N	LEHOTFFKMJEONL-UHFFFAOYSA-N	13154-20-6	DB08844	pubchem_and_inchikey	do not use as primary TCM candidate without special rationale	Uric Acid is Associated with The Severity in IBD: A Meta-Analysis || Association between blood/oral uric acid and periodontitis: A systematic review and meta‐analysis
secondary_literature_supported	13.0	HBIN048376	Wogonoside	1	1	0	0	colitis;inflammatory bowel disease;ulcerative colitis	3084961	LNOHXHDWGCMVCO-NTKSAMNMSA-N	LNOHXHDWGCMVCO-NTKSAMNMSA-N	NA	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Wogonoside alleviates colitis by improving intestinal epithelial barrier function via the MLCK/pMLC2 pathway
deprioritize_low_tcm_specificity_or_conventional	12.0	HBIN019558	Cannabidiol	3	0	2	1	colitis;crohn;inflammatory bowel disease;ulcerative colitis	644019	QHMBSVQNZZTUGM-ZWKOTPCHSA-N	QHMBSVQNZZTUGM-ZWKOTPCHSA-N	13956-29-1	NA	pubchem_and_inchikey	do not use as primary TCM candidate without special rationale	Cannabidiol for Inflammatory Bowel Disease || A Phase 2a Study to Evaluate the Safety, Tolerability and Efficacy of Cannabidiol as a Steroid-sparing Therapy in Steroid-dependent Crohn's Disease Patients || MEDICINAL CANNABIS AND CANNABIDIOL: COMPARATIVE SYSTEMATIC REVIEWS FOR ALL RELEVANT DISEASE INDICATIONS
background_or_control	12.0	HBIN020141	Cerebroside	1	0	0	1	colitis;crohn;inflammatory bowel disease;ulcerative colitis	5280335	WWUZIQQURGPMPG-KRWOKUGFSA-N	WWUZIQQURGPMPG-KRWOKUGFSA-N	NA	NA	pubchem_and_inchikey	do not use as primary TCM candidate without special rationale	Protocol for a systematic review without meta-analysis of the safety of sphingosine 1 phosphate modulators in inflammatory bowel disease and other immune-mediated diseases
background_or_control	12.0	HBIN028057	Glutamine	1	0	0	1	colitis;crohn;inflammatory bowel disease;ulcerative colitis	5961	ZDXPYRJPNDTMRX-VKHMYHEASA-N	ZDXPYRJPNDTMRX-VKHMYHEASA-N	NA	NA	pubchem_and_inchikey	do not use as primary TCM candidate without special rationale	efficacy of oral and enteral glutamine supplementation on gut permeability markers: a meta-analysis
background_or_control	12.0	HBIN032819	Ldp	2	0	1	1	colitis;ulcerative colitis	681	VYFYYTLLBUKUHU-UHFFFAOYSA-N	VYFYYTLLBUKUHU-UHFFFAOYSA-N	50444-17-2	NA	pubchem_and_inchikey	do not use as primary TCM candidate without special rationale	Effect and Mechanism of Dopamine on Ulcerative Colitis || Treatment of preterm neonates with probable transitional circulatory shock: A systematic review, network meta-analysis and clinical practice guidelines.
secondary_literature_supported	11.0	HBIN026550	Flavone	1	1	0	0	crohn;inflammatory bowel disease	10680	VHBFFQKBGNRLFZ-UHFFFAOYSA-N	VHBFFQKBGNRLFZ-UHFFFAOYSA-N	525-82-6	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Total Flavone of Abelmoschus manihot Ameliorates TNBS-Induced Colonic Fibrosis by Regulating Th17/Treg Balance and Reducing Extracellular Matrix
background_or_control	11.0	HBIN032538	Lactose	1	0	1	0	colitis;ulcerative colitis	6134	GUBGYTABKSRVRQ-DCSYEGIMSA-N	GUBGYTABKSRVRQ-DCSYEGIMSA-N	NA	NA	pubchem_and_inchikey	do not use as primary TCM candidate without special rationale	Amount of Lactose Causing Symptoms in People With Lactose Intolerance and Ulcerative Colitis
background_or_control	11.0	HBIN042735	Saccharose	2	0	1	1	enteritis;inflammatory bowel disease	5988	CZMRCDWAGMRECN-UGDNZRGBSA-N	CZMRCDWAGMRECN-UGDNZRGBSA-N	NA	NA	pubchem_and_inchikey	do not use as primary TCM candidate without special rationale	Sucrose at Triage for Acute Gastroenteritis Episode in Children || Efficacy and safety of intravenous iron sucrose for children with iron deficiency
secondary_literature_supported	10.0	HBIN016074	Anemoside b	1	1	0	0	colitis;ulcerative colitis	11636713	OUHBKBTZUPLIIA-OTEDBJMHSA-N	OUHBKBTZUPLIIA-OTEDBJMHSA-N	129741-57-7	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Anemoside B4 ameliorates TNBS-induced colitis through S100A9/MAPK/NF-κB signaling pathway
secondary_literature_supported	10.0	HBIN017178	Astaxanthin	1	1	0	0	colitis;ulcerative colitis	5281224	MQZIGYBFDRPAKN-UWFIBFSHSA-N	MQZIGYBFDRPAKN-UWFIBFSHSA-N	NA	DB06543	pubchem_and_inchikey	manual safety and TCM-source review required before claims	A smart cauliflower-like carrier for astaxanthin delivery to relieve colon inflammation
secondary_literature_supported	10.0	HBIN017212	Astragalin	1	1	0	0	colitis;ulcerative colitis	5282102	JPUKWEQWGBDDQB-QSOFNFLRSA-N	JPUKWEQWGBDDQB-QSOFNFLRSA-N	480-10-4	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Astragalin Attenuates Dextran Sulfate Sodium (DSS)-Induced Acute Experimental Colitis by Alleviating Gut Microbiota Dysbiosis and Inhibiting NF-κB Activation in Mice
secondary_literature_supported	10.0	HBIN017508	Baicalein	1	1	0	0	colitis;ulcerative colitis	5281605	FXNFHKRTJBSTCS-UHFFFAOYSA-N	FXNFHKRTJBSTCS-UHFFFAOYSA-N	491-67-8	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Baicalein ameliorates ulcerative colitis by improving intestinal epithelial barrier via AhR/IL-22 pathway in ILC3s
secondary_literature_supported	10.0	HBIN019495	Campherol	1	1	0	0	colitis;ulcerative colitis	5280863	IYRMWMYZSQPJKC-UHFFFAOYSA-N	IYRMWMYZSQPJKC-UHFFFAOYSA-N	NA	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Kaempferol Alleviates Murine Experimental Colitis by Restoring Gut Microbiota and Inhibiting the LPS-TLR4-NF-κB Axis
secondary_literature_supported	10.0	HBIN021714	Crocin	1	1	0	0	colitis;ulcerative colitis	5281233	SEBIKDIMAPSUBY-RTJKDTQDSA-N	SEBIKDIMAPSUBY-RTJKDTQDSA-N	42553-65-1	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	The Protection of Crocin Against Ulcerative Colitis and Colorectal Cancer via Suppression of NF-κB-Mediated Inflammation
secondary_literature_supported	10.0	HBIN021964	Curculigoside	1	1	0	0	colitis;ulcerative colitis	158845	SJJRKHVKAXVFJQ-QKYBYQKWSA-N	SJJRKHVKAXVFJQ-QKYBYQKWSA-N	85643-19-2	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Curculigoside inhibits ferroptosis in ulcerative colitis through the induction of GPX4
secondary_literature_supported	10.0	HBIN022795	Daurisoline	1	1	0	0	colitis;ulcerative colitis	51106	BURJAQFYNVMZDV-FIRIVFDPSA-N	BURJAQFYNVMZDV-FIRIVFDPSA-N	70553-76-3	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Daurisoline alleviated experimental colitis in vivo and in vitro: Involvement of NF-κB and Wnt/β-Catenin pathway
secondary_literature_supported	10.0	HBIN023000	Dehydrocostus lactone	2	2	0	0	colitis	73174	NETSQGRTUNRXEO-XUXIUFHCSA-N	NETSQGRTUNRXEO-XUXIUFHCSA-N	477-43-0	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Dehydrocostus Lactone Attenuates Methicillin-Resistant Staphylococcus aureus-Induced Inflammation and Acute Lung Injury via Modulating Macrophage Polarization || Dehydrocostus Lactone Suppresses Dextran Sulfate Sodium-Induced Colitis by Targeting the IKKα/β-NF-κB and Keap1-Nrf2 Signalling Pathways
secondary_literature_supported	10.0	HBIN024134	Dioscin	1	1	0	0	colitis;ulcerative colitis	119245	VNONINPVFQTJOC-ZGXDEBHDSA-N	VNONINPVFQTJOC-ZGXDEBHDSA-N	19057-60-4	NA	pubchem_and_inchikey	manual safety and TCM-source review required before claims	Dioscin ameliorates murine ulcerative colitis by regulating macrophage polarization
