gene_symbol	pmid	pubmed_found	herb_reference_title	pubmed_title	title_match	relationship	relationship_direction	therapeutic_alignment	target_term_found_in_pubmed_title_or_abstract	matched_target_patterns	disease_context_terms_in_pubmed_record
IL1B	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	suppress/inhibitor	down	aligned_suppresses_disease_up_target	yes	\bIL-?1β\b	curcumin;colitis;ulcerative_colitis;dss;b_cell
IL33	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	suppress/inhibitor	down	aligned_suppresses_disease_up_target	yes	\bIL-?33\b	curcumin;colitis;ulcerative_colitis;dss;b_cell
IL4	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	upregulate/increase	up	not_in_bulk_module	yes	\bIL-?4\b	curcumin;colitis;ulcerative_colitis;dss;b_cell
IL6	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bIL-?6\b	curcumin;colitis;ulcerative_colitis;dss;b_cell
LOC102723407	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	upregulate/increase	up	not_in_bulk_module	no		curcumin;colitis;ulcerative_colitis;dss;b_cell
TNF	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bTNF-?α\b;\bTNF\b	curcumin;colitis;ulcerative_colitis;dss;b_cell
BCL6	36353208	yes	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bBcl-?6\b	curcumin;colitis;dss;b_cell;memory_cell
BLNK	36353208	yes	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	yes	upregulate/increase	up	not_in_bulk_module	yes	\bBLNK\b;\bp-?BLNK\b	curcumin;colitis;dss;b_cell;memory_cell
IL10	36353208	yes	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	yes	upregulate/increase	up	not_in_bulk_module	yes	\bIL-?10\b	curcumin;colitis;dss;b_cell;memory_cell
IL12A	36353208	yes	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	yes	upregulate/increase	up	not_in_bulk_module	yes	\bIL-?35\b	curcumin;colitis;dss;b_cell;memory_cell
IL1B	36353208	yes	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	yes	downregulate/decrease	down	aligned_suppresses_disease_up_target	yes	\bIL-?1β\b	curcumin;colitis;dss;b_cell;memory_cell
IL6	36353208	yes	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	yes	downregulate/decrease	down	not_in_bulk_module	yes	\bIL-?6\b	curcumin;colitis;dss;b_cell;memory_cell
SH3KBP1	36353208	yes	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bCIN85\b	curcumin;colitis;dss;b_cell;memory_cell
SYK	36353208	yes	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bSYK\b;\bp-?SYK\b	curcumin;colitis;dss;b_cell;memory_cell
TNF	36353208	yes	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	yes	downregulate/decrease	down	not_in_bulk_module	yes	\bTNF-?α\b;\bTNF\b	curcumin;colitis;dss;b_cell;memory_cell
