number	ref_key	doi	pmid	geo	url	status	audit_action	evidence_note	reference
16	R053	10.1038/npjsba.2016.15				DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	Crossref: npj Systems Biology and Applications 2;1 16015	Duan Q, Reid SP, Clark NR, Wang Z, Fernandez NF, Rouillard AD, et al. L1000CDS2: LINCS L1000 characteristic direction signatures search engine. NPJ Syst Biol Appl. 2016;2:16015. doi:10.1038/npjsba.2016.15.
17	R011			GSE59071	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59071	GEO_OK	No reference-list edit required after metadata audit.	Mucosal gene expression profiling in patients with inflammatory bowel disease	National Center for Biotechnology Information. Gene Expression Omnibus record GSE59071: GSE59071: Mucosal gene expression profiling in patients with inflammatory bowel disease [Internet]. Bethesda (MD): National Center for Biotechnology Information; [cited 2026 Jul 1]. Available from: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59071
18	R013			GSE125527	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527	GEO_OK	No reference-list edit required after metadata audit.	Single-Cell Analyses Elucidate the Cellular and Molecular Landscape of Ulcerative Colitis	National Center for Biotechnology Information. Gene Expression Omnibus record GSE125527: GSE125527: UC single-cell RNA-seq, scTCR-seq, and scBCR-seq supplementary data [Internet]. Bethesda (MD): National Center for Biotechnology Information; [cited 2026 Jul 1]. Available from: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527
19	R023	10.1038/s41467-021-25960-2	34584091			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Nat Commun 2021;12(1) 5692 | Crossref: Nature Communications 12;1 5692	Squair JW, Gautier M, Kathe C, Anderson MA, James ND, Hutson TH, et al. Confronting false discoveries in single-cell differential expression. Nat Commun. 2021;12(1):5692. doi:10.1038/s41467-021-25960-2.
20	R024	10.1038/s41467-020-19894-4	33257685			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Nat Commun 2020;11(1) 6077 | Crossref: Nature Communications 11;1 6077	Crowell HL, Soneson C, Germain PL, Calini D, Collin L, Raposo C, et al. muscat detects subpopulation-specific state transitions from multi-sample multi-condition single-cell transcriptomics data. Nat Commun. 2020;11(1):6077. doi:10.1038/s41467-020-19894-4.
21	R025	10.1093/bib/bbac286	35880426			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Brief Bioinform 2022;23(5) bbac286 | Crossref: Briefings in Bioinformatics 23;5 bbac286	Junttila S, Smolander J, Elo LL. Benchmarking methods for detecting differential states between conditions from multi-subject single-cell RNA-seq data. Brief Bioinform. 2022;23(5). doi:10.1093/bib/bbac286.
22	R029	10.1093/nar/gkaa1063	33264402			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Nucleic Acids Res 2021;49(D1) D1197-D1206 | Crossref: Nucleic Acids Research 49;D1 D1197-D1206	Fang S, Dong L, Liu L, Guo J, Zhao L, Zhang J, et al. HERB: a high-throughput experiment- and reference-guided database of traditional Chinese medicine. Nucleic Acids Res. 2021;49(D1):D1197-D1206. doi:10.1093/nar/gkaa1063.
23	R041	10.3748/wjg.v28.i40.5865	36353208			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: World J Gastroenterol 2022;28(40) 5865-5880 | Crossref: World Journal of Gastroenterology 28;40 5865-5880	Wei SY, Wu TT, Huang JQ, Kang ZP, Wang MX, Zhong YB, et al. Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling. World J Gastroenterol. 2022;28(40):5865-5880. doi:10.3748/wjg.v28.i40.5865.
24	R040	10.1002/ptr.7656	36196887			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Phytother Res 2023;37(2) 731-742 | Crossref: Phytotherapy Research 37;2 731-742	Huang J, Wu T, Zhong Y, Huang J, Kang Z, Zhou B, et al. Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway. Phytother Res. 2023;37(2):731-742. doi:10.1002/ptr.7656.
25	R059	10.3390/ijms26010121	39795980			PMID_OK;DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	PubMed: Int J Mol Sci 2024;26(1) 121 | Crossref: International Journal of Molecular Sciences 26;1 121	Aebisher D, Bartusik-Aebisher D, Przygórzewska A, Oleś P, Woźnicki P, Kawczyk-Krupka A. Key Interleukins in Inflammatory Bowel Disease-A Review of Recent Studies. Int J Mol Sci. 2024;26(1):121. doi:10.3390/ijms26010121.
26	R060	10.3390/ijms24010623	36614065			PMID_OK;DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	PubMed: Int J Mol Sci 2022;24(1) 623 | Crossref: International Journal of Molecular Sciences 24;1 623	Aggeletopoulou I, Tsounis EP, Triantos C. Molecular Mechanisms Underlying IL-33-Mediated Inflammation in Inflammatory Bowel Disease. Int J Mol Sci. 2022;24(1):623. doi:10.3390/ijms24010623.
27	R051	10.1186/s12859-022-04753-4	35710324			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: BMC Bioinformatics 2022;23(1) 232 | Crossref: BMC Bioinformatics 23;1 232	Han Y, Klinger K, Rajpal DK, Zhu C, Teeple E. Empowering the discovery of novel target-disease associations via machine learning approaches in the open targets platform. BMC Bioinformatics. 2022;23(1):232. doi:10.1186/s12859-022-04753-4.
28	R039	10.3389/fphar.2020.630244	33597887			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Front Pharmacol 2020;11() 630244 | Crossref: Frontiers in Pharmacology 11 630244	Zhong YB, Kang ZP, Zhou BG, Wang HY, Long J, Zhou W, et al. Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis. Front Pharmacol. 2020;11:630244. doi:10.3389/fphar.2020.630244.
29	R031				https://www.tcmip.cn/ETCM2/front/	URL_NEEDS_REVIEW	No reference-list edit required after metadata audit.	URLError: <urlopen error EOF occurred in violation of protocol (_ssl.c:1129)>	ETCM2 official resource [Internet]. [cited 2026 Jul 1]. Available from: https://www.tcmip.cn/ETCM2/front/
30	R057	10.1093/ibd/izaf275	41267169			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Inflamm Bowel Dis 2026;32(2) 290-302 | Crossref: Inflammatory Bowel Diseases 32;2 290-302	Fung ICN, Koelink PJ, Mulders LGM, Admiraal I, Verseijden C, Verhoeff J, et al. Mucosal B Cell Expansion and Maturation Contribute to Colitis Pathogenesis. Inflamm Bowel Dis. 2026;32(2):290-302. doi:10.1093/ibd/izaf275.
31	R058	10.3724/abbs.2023237	37814814			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Acta Biochim Biophys Sin (Shanghai) 2023;55(11) 1730-1739 | Crossref: Acta Biochimica et Biophysica Sinica 55;11 1730-1739	Mo S, Shen X, Huang B, Wang Y, Lin L, Chen Q, et al. Single-cell dissection, hdWGCNA and deep learning reveal the role of oxidatively stressed plasma cells in ulcerative colitis. Acta Biochim Biophys Sin (Shanghai). 2023;55(11):1730-1739. doi:10.3724/abbs.2023237.
32	R020	10.1093/nar/gkv007	25605792			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Nucleic Acids Res 2015;43(7) e47 | Crossref: Nucleic Acids Research 43;7 e47-e47	Ritchie ME, Phipson B, Wu D, Hu Y, Law CW, Shi W, et al. limma powers differential expression analyses for RNA-sequencing and microarray studies. Nucleic Acids Res. 2015;43(7):e47. doi:10.1093/nar/gkv007.
33	R042	10.1111/jgh.14911	31696975			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: J Gastroenterol Hepatol 2020;35(5) 722-729 | Crossref: Journal of Gastroenterology and Hepatology 35;5 722-729	Zheng T, Wang X, Chen Z, He A, Zheng Z, Liu G. Efficacy of adjuvant curcumin therapy in ulcerative colitis: A meta-analysis of randomized controlled trials. J Gastroenterol Hepatol. 2020;35(5):722-729. doi:10.1111/jgh.14911.
34	R043	10.1080/17474124.2020.1808460	32772752			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Expert Rev Gastroenterol Hepatol 2020;14(12) 1171-1179 | Crossref: Expert Review of Gastroenterology &amp; Hepatology 14;12 1171-1179	Goulart RA, Barbalho SM, Rubira CJ, Araújo AC, Lima VM, Rogerio Leoni B, et al. Curcumin therapy for ulcerative colitis remission: systematic review and meta-analysis. Expert Rev Gastroenterol Hepatol. 2020;14(12):1171-1179. doi:10.1080/17474124.2020.1808460.
35	R046	10.3389/fphar.2022.908077	35795556			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Front Pharmacol 2022;13() 908077 | Crossref: Frontiers in Pharmacology 13 908077	Lin Y, Liu H, Bu L, Chen C, Ye X. Review of the Effects and Mechanism of Curcumin in the Treatment of Inflammatory Bowel Disease. Front Pharmacol. 2022;13:908077. doi:10.3389/fphar.2022.908077.
36	R049	10.3389/fnut.2025.1494351	40196017			PMID_OK;DOI_OK	No reference-list edit required after metadata audit.	PubMed: Front Nutr 2025;12() 1494351 | Crossref: Frontiers in Nutrition 12 1494351	Mohseni S, Tavakoli A, Ghazipoor H, Pouralimohamadi N, Zare R, Rampp T, et al. Curcumin for the clinical treatment of inflammatory bowel diseases: a systematic review and meta-analysis of placebo-controlled randomized clinical trials. Front Nutr. 2025;12:1494351. doi:10.3389/fnut.2025.1494351.
37	R021	10.1111/j.2517-6161.1995.tb02031.x				DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	Crossref: Journal of the Royal Statistical Society Series B: Statistical Methodology 57;1 289-300	Benjamini Y, Hochberg Y. Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing. Journal of the Royal Statistical Society Series B: Statistical Methodology. 1995;57(1):289-300. doi:10.1111/j.2517-6161.1995.tb02031.x.
38	R022	10.1214/aoms/1177730491				DOI_OK	Edited manuscript/reference map: added missing article/page metadata, normalized journal abbreviation, or added terminal DOI punctuation.	Crossref: The Annals of Mathematical Statistics 18;1 50-60	Mann HB, Whitney DR. On a Test of Whether one of Two Random Variables is Stochastically Larger than the Other. Ann Math Stat. 1947;18(1):50-60. doi:10.1214/aoms/1177730491.
