dataset_id_or_name	modality	sample_size	population_or_ancestry	age_stratum_or_age_range	tissue_or_site	endpoint_availability	access_link	intended_role	priority	suitability_notes	risks_or_caveats
GSE282123	Single-cell spatial transcriptomics	7	Homo sapiens; UC FFPE biopsies	Not yet verified	FFPE colitis tissue; Xenium spatial platform	Colitis-associated cell networks	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282123	Optional spatial validation of cell-state localization	Medium	Spatial data can strengthen cell-network framing if accessible and interpretable	Small sample count; may be supplementary only
GSE312415	Single-cell-level spatial transcriptomics	60	Homo sapiens; IBD spatial platform comparison	Not yet verified	Human IBD tissue; CosMx spatial platform	Treg biology and spatial platform comparison	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312415	Optional spatial/cell-state support	Medium	Sample count is reasonable; can support spatial Treg biology if metadata fit	Platform-comparison design may not fit main UC/IBD hypothesis
GSE282580	Bulk RNA-seq	60	Homo sapiens; UC colonic tissue	Adult/mixed not yet verified	Inflammatory and non-inflammatory colorectal tissue	Vedolizumab treatment effectiveness	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282580	Recent RNA-seq treatment-effectiveness validation	Medium-high	RNA-seq and treatment-effectiveness context; useful modern validation candidate	Need full metadata and treatment-response labels before prioritizing
GSE270661	Bulk RNA-seq	119	Homo sapiens; Crohn disease regulatory landscape	Adult/mixed not yet verified	IBD-relevant tissues/cells not yet verified	Anti-TNF response-associated regulatory landscape	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270661	Anti-TNF response and regulatory validation	Medium-high	Large recent RNA-seq dataset with anti-TNF response relevance	Crohn/miRNA companion design may complicate integration
GSE288517	Bulk RNA-seq / paired transcriptomics	23	Homo sapiens; UC patient-derived organoids	Adult/mixed not yet verified	Colonic organoids	Anti-TNF non-response and epithelial response context	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288517	Epithelial cytokine/organoid disease-model support	Medium	Useful for epithelial barrier/stimulation module and mechanistic plausibility	Organoid model, not patient tissue; supplementary support only
GSE288617	Bulk RNA-seq / paired transcriptomics	41	Homo sapiens; patient-derived intestinal organoids	Adult/mixed not yet verified	Intestinal organoids	Cytokine-stimulated epithelial response and UC-like response	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288617	Epithelial inflammation model and perturbation-like support	Medium	Can connect disease signature to epithelial cytokine response	Model system; not sufficient as clinical validation
LINCS L1000 Phase I GSE92742	Drug/compound perturbation transcriptomics	Large-scale; hundreds of thousands of profiles	Human cell lines	Cell line dependent	Multiple cell lines	Compound perturbation signatures	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92742	Perturbation reversal resource for candidate ingredients/compounds	High	Central resource for CMap-style reversal against UC/IBD disease signatures	TCM ingredient coverage and gut-relevant cell lines must be checked
LINCS L1000 Phase II GSE70138	Drug/compound perturbation transcriptomics	Large-scale	Human cell lines	Cell line dependent	Multiple cell lines	Compound perturbation signatures	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70138	Perturbation reversal resource	High	Complementary LINCS L1000 phase for candidate compound reversal	Access and identifier mapping require dedicated script
HERB 2.0 V2 download tables	TCM knowledge; clinical/meta/reference/experiment/database relations	Herbs 6892; formulae 6743; ingredients 44595; targets 15515; diseases 30170; clinical trials 8558; meta-analyses 8032	Global database; TCM entities	Not applicable	Herb/formula/ingredient/disease/target/evidence relations	Clinical trial, meta-analysis, reference, high-throughput experiment and knowledge graph evidence	https://doi.org/10.1093/nar/gkae1037	Primary TCM evidence and candidate source	High	Best TCM evidence layer; already tested for download and API access	Must separate evidence levels and avoid treating database association as proof
ETCM2 browse/detail API	TCM formula/herb/ingredient/target/disease structured knowledge	Formulae 48442; medicinal materials 2079; ingredients 38298; targets 1040; diseases 8045	Global database; TCM entities	Not applicable	Formula, herb, ingredient, disease and target annotations	Formula composition and structured annotation	 http://www.tcmip.cn/ETCM2/front/#/	Cross-check formula/herb/ingredient annotations	High	Complements HERB; API access already tested	Some outputs are predicted/annotational and require evidence grading
BATMAN-TCM 2.0	TCM ingredient-target known/predicted interactions	Database-scale; exact entity counts to verify	TCM ingredient-target database	Not applicable	Ingredient-target-disease query layer	Known vs predicted target relationships; disease signature query support	https://doi.org/10.1093/nar/gkad926	Cross-database validation of candidate ingredient-target mappings	Medium-high	Useful to separate known and predicted target evidence	Access/download workflow still needs testing
GWAS Catalog IBD/UC/CD traits	GWAS associations	Study-specific; to be selected	Human; ancestry varies by GWAS	Adult/mixed depending on study	Blood/genotype-derived disease associations	IBD, UC, Crohn disease genetic association traits	https://www.ebi.ac.uk/gwas/	Optional causal/genetic support and disease gene prior	Medium	Can support disease module plausibility and MR/coloc if summary stats accessible	Ancestry and summary-stat access vary; not required for minimum publishable unit
Open Targets disease-gene associations	Disease-gene knowledge graph	Database-scale	Human	Not applicable	Disease-gene evidence	Disease-gene associations, drugs, targets	https://platform.opentargets.org/	Disease-gene prior and target plausibility check	Medium	Good for triangulating UC/IBD genes and known drug targets	Secondary evidence; not a substitute for expression validation
PubMed literature / high-impact benchmark	Literature evidence	Search-derived	Global literature	Not applicable	Published studies	Mechanism, clinical context, method benchmark	https://pubmed.ncbi.nlm.nih.gov/	Citation support and novelty benchmarking	High	Required for claim context and avoiding citation gaps	Must verify each final citation at paper-writing stage
