gene_symbol	display_evidence_layer	display_bulk_role	evidence_tier	bulk_module_role	relationship_directions	pubmed_ids	b_delta_log1p_cpm_diseased_minus_healthy	b_p_log1p_cpm_mannwhitney	mdc_delta_log1p_cpm_diseased_minus_healthy	mdc_p_log1p_cpm_mannwhitney	open_targets_diseases	max_open_targets_overall	max_open_targets_genetic	max_open_targets_clinical	pubmed_edges_checked	pubmed_title_matches	pubmed_target_terms_found	fulltext_evidence_levels	recommended_figure_use	interpretation_boundary
IL7	B-cell increased supplementary target	Not in top bulk module	D_b_cell_increased	not_bulk_top150	down	33597887	0.07489	0.0727	0.0289	0.627	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.0987	0	0	1	1	1	open_fulltext_body_match	supplementary_candidate	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
STAT5A	B-cell increased supplementary target	Not in top bulk module	D_b_cell_increased	not_bulk_top150	down	33597887	0.04869	0.23	0.01266	1	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.0592	0	0	1	1	1	open_fulltext_body_match	supplementary_candidate	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
IL15	B-cell increased supplementary target	Not in top bulk module	D_b_cell_increased	not_bulk_top150	down	33597887	0.03242	0.412	0.03334	0.627	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.0974	0	0	1	1	1	open_fulltext_body_match	supplementary_candidate	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
IL10	Context-only literature target	Not in top bulk module	F_context_target_only	not_bulk_top150	up	36196887;36353208	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.763	0.883	0	2	2	2			
IL12A	Context-only literature target	Not in top bulk module	F_context_target_only	not_bulk_top150	up	36353208	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.606	0	0.987	1	1	1			
IL13	Context-only literature target	Not in top bulk module	F_context_target_only	not_bulk_top150	up	36196887	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.323	0	0.482	1	1	1			
IL22	Context-only literature target	Not in top bulk module	F_context_target_only	not_bulk_top150	down	33597887	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.137	0	0	1	1	0			
IL4	Context-only literature target	Not in top bulk module	F_context_target_only	not_bulk_top150	up	36196887	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.126	0	0	1	1	1			
IL6	Context-only literature target	Not in top bulk module	F_context_target_only	not_bulk_top150	down	36196887;36353208	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.142	0	0.181	2	2	2			
INS	Context-only literature target	Not in top bulk module	F_context_target_only	not_bulk_top150	down	35234309	NA	NA	NA	NA	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.134	0.179	0	0	0	0			
LOC102723407	Context-only literature target	Not in top bulk module	F_context_target_only	not_bulk_top150	up	36196887	NA	NA	NA	NA		NA	NA	NA	1	1	0			
IFNG	Context-only literature target	Not in top bulk module	F_context_target_only	not_bulk_top150	down	36196887	-0.02215	0.788	-0.03163	0.19	Crohn disease;inflammatory bowel disease;ulcerative colitis	0.332	0.484	0.122	1	1	1			
