gene_symbol	evidence_tier	bulk_module_role	therapeutic_alignments	relationship_directions	relationships	pubmed_ids	reference_titles	b_mean_log1p_cpm_diseased	b_mean_log1p_cpm_healthy	b_delta_log1p_cpm_diseased_minus_healthy	b_p_log1p_cpm_mannwhitney	b_mean_detection_diseased	b_mean_detection_healthy	b_expression_status	mdc_mean_log1p_cpm_diseased	mdc_mean_log1p_cpm_healthy	mdc_delta_log1p_cpm_diseased_minus_healthy	mdc_p_log1p_cpm_mannwhitney	mdc_mean_detection_diseased	mdc_mean_detection_healthy	mdc_expression_status	first_supporting_sentence
IL7	D_b_cell_increased	not_bulk_top150	not_in_bulk_module	down	NA	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	0.0954296	0.0205441	0.0748855	0.0727273	0.0320454	0.014888	detected_in_diseased_B	0.0605322	0.0316286	0.0289036	0.62678	0.0268645	0.009009	detected_in_diseased_MDC	After 7 days of continuous curcumin (100 mg/kg/day) administration, the DSS-induced experimental colitis was effectively relieved, with significant decreases in the ratio of day weight to initial body weight, colonic weight, pathological injury score, levels of proinflammatory cytokines IL-7, IL-15, and IL-21, colonic mucosal ulceration, and amount of inflammatory infiltrate.
STAT5A	D_b_cell_increased	not_bulk_top150	not_in_bulk_module	down	suppress/inhibitor	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	0.111427	0.0627377	0.0486891	0.230303	0.0355119	0.0402843	detected_in_diseased_B	0.334545	0.321885	0.0126604	1	0.186044	0.224367	detected_in_diseased_MDC	In addition, curcumin significantly inhibited the activation of the JAK1/STAT5 signaling pathway, downregulation of JAK1, STAT5, and p-STAT5 proteins in colon tissue, and upregulation of PIAS1 proteins.
IL15	D_b_cell_increased	not_bulk_top150	not_in_bulk_module	down	NA	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	0.106777	0.0743617	0.0324155	0.412121	0.0395605	0.0549603	detected_in_diseased_B	0.0649732	0.0316286	0.0333446	0.62678	0.0354668	0.009009	detected_in_diseased_MDC	After 7 days of continuous curcumin (100 mg/kg/day) administration, the DSS-induced experimental colitis was effectively relieved, with significant decreases in the ratio of day weight to initial body weight, colonic weight, pathological injury score, levels of proinflammatory cytokines IL-7, IL-15, and IL-21, colonic mucosal ulceration, and amount of inflammatory infiltrate.
IL10	F_context_target_only	not_bulk_top150	not_in_bulk_module	up	upregulate/increase	36196887;36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway							no_rectal_B_contrast							no_rectal_MDC_contrast	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
IL12A	F_context_target_only	not_bulk_top150	not_in_bulk_module	up	upregulate/increase	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling							no_rectal_B_contrast							no_rectal_MDC_contrast	The secretion of IL-1beta, IL-6, TNF-alpha, and IL-7A was statistically decreased, while the IL-35 and IL-10 levels were considerably increased.
IL13	F_context_target_only	not_bulk_top150	not_in_bulk_module	up	upregulate/increase	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway							no_rectal_B_contrast							no_rectal_MDC_contrast	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
IL22	F_context_target_only	not_bulk_top150	not_in_bulk_module	down	NA	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis							no_rectal_B_contrast							no_rectal_MDC_contrast	After 7 days of continuous curcumin (100 mg/kg/day) administration, the DSS-induced experimental colitis was effectively relieved, with significant decreases in the ratio of day weight to initial body weight, colonic weight, pathological injury score, levels of proinflammatory cytokines IL-7, IL-15, and IL-21, colonic mucosal ulceration, and amount of inflammatory infiltrate.
IL4	F_context_target_only	not_bulk_top150	not_in_bulk_module	up	upregulate/increase	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway							no_rectal_B_contrast							no_rectal_MDC_contrast	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
IL6	F_context_target_only	not_bulk_top150	not_in_bulk_module	down	downregulate/decrease;suppress/inhibitor	36196887;36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway							no_rectal_B_contrast							no_rectal_MDC_contrast	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
INS	F_context_target_only	not_bulk_top150	not_in_bulk_module	down	downregulate/decrease	35234309	Curcumin regulates the homeostasis of Th17/Treg and improves the composition of gut microbiota in type 2 diabetic mice with colitis							no_rectal_B_contrast							no_rectal_MDC_contrast	In this study, curcumin (100 mg/kg/day) significantly improved the symptoms of diabetes complicated by UC, with a lower insulin level, heavier weight, longer and lighter colons, fewer mucosal ulcers and less inflammatory cell infiltration.
LOC102723407	F_context_target_only	not_bulk_top150	not_in_bulk_module	up	upregulate/increase	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway							no_rectal_B_contrast							no_rectal_MDC_contrast	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
IFNG	F_context_target_only	not_bulk_top150	not_in_bulk_module	down	suppress/inhibitor	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	0.0509269	0.0730812	-0.0221544	0.787879	0.0152093	0.0254346	detected_in_diseased_B	0	0.0316286	-0.0316286	0.19043	0	0.009009	not_detected_in_diseased_MDC	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
